Simulation_Number,T0,T1,Percentage_Change,Class
578,1,0.969875592,-0.0301,Volatility
579,1,0.987384021,-0.0126,Volatility
580,1,0.998351874,-0.0016,Volatility
581,1,1.001661477,0.0017,Volatility
582,1,1.019442251,0.0194,Volatility
583,1,1.005213978,0.0052,Volatility
584,1,1.006253362,0.0063,Volatility
585,1,0.987456308,-0.0125,Volatility
586,1,0.996331275,-0.0037,Volatility
587,1,1.009246139,0.0092,Volatility
588,1,0.999893247,-0.0001,Volatility
589,1,1.00625122,0.0063,Volatility
590,1,0.984706937,-0.0153,Volatility
591,1,1.000635518,0.0006,Volatility
592,1,1.004498122,0.0045,Volatility
593,1,0.998044694,-0.002,Volatility
594,1,0.98941634,-0.0106,Volatility
595,1,1.000404758,0.0004,Volatility
596,1,1.005524748,0.0055,Volatility
597,1,0.987991854,-0.012,Volatility
598,1,1.018614184,0.0186,Volatility
599,1,1.020097442,0.0201,Volatility
600,1,1.004325032,0.0043,Volatility
601,1,1.005589719,0.0056,Volatility
602,1,0.987934453,-0.0121,Volatility
603,1,0.996532721,-0.0035,Volatility
604,1,0.981340445,-0.0187,Volatility
605,1,0.989487728,-0.0105,Volatility
606,1,0.981297314,-0.0187,Volatility
607,1,0.986164622,-0.0138,Volatility
608,1,1.013117257,0.0131,Volatility
609,1,1.004615603,0.0046,Volatility
610,1,0.989574693,-0.0104,Volatility
611,1,1.018962995,0.019,Volatility
612,1,1.001603978,0.0016,Volatility
613,1,0.996238525,-0.0038,Volatility
614,1,1.016452842,0.0165,Volatility
615,1,0.997208152,-0.0028,Volatility
616,1,0.995556078,-0.0044,Volatility
617,1,0.994596373,-0.0054,Volatility
618,1,1.000371988,0.0004,Volatility
619,1,1.009660563,0.0097,Volatility
620,1,0.994510839,-0.0055,Volatility
621,1,0.999844693,-0.0002,Volatility
622,1,1.006266052,0.0063,Volatility
623,1,0.97864097,-0.0214,Volatility
624,1,0.992739033,-0.0073,Volatility
625,1,1.017173126,0.0172,Volatility
626,1,1.0043308,0.0043,Volatility
627,1,1.000235469,0.0002,Volatility
628,1,0.995814009,-0.0042,Volatility
629,1,0.997844751,-0.0022,Volatility
630,1,0.985998037,-0.014,Volatility
631,1,0.992704064,-0.0073,Volatility
632,1,1.002319972,0.0023,Volatility
633,1,0.983727861,-0.0163,Volatility
634,1,1.008909217,0.0089,Volatility
635,1,1.000117192,0.0001,Volatility
636,1,1.013040798,0.013,Volatility
637,1,1.003782012,0.0038,Volatility
638,1,1.005887585,0.0059,Volatility
639,1,0.992037126,-0.008,Volatility
640,1,0.995693277,-0.0043,Volatility
641,1,1.004416089,0.0044,Volatility
642,1,0.99655485,-0.0034,Volatility
643,1,1.00931619,0.0093,Volatility
644,1,0.997740808,-0.0023,Volatility
645,1,1.019173364,0.0192,Volatility
646,1,1.002559808,0.0026,Volatility
647,1,0.983846566,-0.0162,Volatility
648,1,1.006257501,0.0063,Volatility
649,1,0.995415651,-0.0046,Volatility
650,1,1.010967359,0.011,Volatility
651,1,0.98235952,-0.0176,Volatility
652,1,1.01516702,0.0152,Volatility
653,1,1.002312876,0.0023,Volatility
654,1,1.002644887,0.0026,Volatility
655,1,1.000838134,0.0008,Volatility
656,1,0.98828487,-0.0117,Volatility
657,1,1.004267287,0.0043,Volatility
658,1,1.021746491,0.0217,Volatility
659,1,1.017550361,0.0176,Volatility
660,1,1.005319198,0.0053,Volatility
661,1,1.012196721,0.0122,Volatility
662,1,1.01287801,0.0129,Volatility
663,1,0.988066436,-0.0119,Volatility
664,1,1.006590513,0.0066,Volatility
665,1,1.009280774,0.0093,Volatility
666,1,0.974672559,-0.0253,Volatility
667,1,0.999920812,-0.0001,Volatility
668,1,1.024186784,0.0242,Volatility
669,1,1.004605026,0.0046,Volatility
670,1,0.995263114,-0.0047,Volatility
671,1,1.016368952,0.0164,Volatility
672,1,0.987352573,-0.0126,Volatility
673,1,0.983919477,-0.0161,Volatility
674,1,1.009572763,0.0096,Volatility
675,1,1.0140417,0.014,Volatility
676,1,1.010864638,0.0109,Volatility
677,1,1.005527866,0.0055,Volatility
678,1,1.003905718,0.0039,Volatility
679,1,1.007978391,0.008,Volatility
