Date,Trading_Hrs_Return,Total_Return,Difference,Class_,New_Date
14/05/2020,2.9311,1.5454,-1.3857,Delta_Airlines,2020-05-14
15/05/2020,0.5433,10.9226,10.3794,Delta_Airlines,2020-05-15
18/05/2020,3.0843,6.9125,3.8282,Delta_Airlines,2020-05-18
19/05/2020,-4.0924,-0.86,3.2324,Delta_Airlines,2020-05-19
20/05/2020,0.9934,2.3057,1.3123,Delta_Airlines,2020-05-20
21/05/2020,0.7397,1.9946,1.2548,Delta_Airlines,2020-05-21
22/05/2020,-3.388,5.4919,8.8799,Delta_Airlines,2020-05-22
26/05/2020,3.4223,12.723,9.3008,Delta_Airlines,2020-05-26
27/05/2020,-5.7479,-5.7811,-0.0332,Delta_Airlines,2020-05-27
28/05/2020,-2.3055,-5.5899,-3.2845,Delta_Airlines,2020-05-28
29/05/2020,1.185,2.9116,1.7266,Delta_Airlines,2020-05-29
01/06/2020,2.4943,6.0264,3.5321,Delta_Airlines,2020-06-01
02/06/2020,-2.3966,0.4516,2.8482,Delta_Airlines,2020-06-02
03/06/2020,4.6569,11.391,6.7341,Delta_Airlines,2020-06-03
04/06/2020,6.9512,23.2673,16.3161,Delta_Airlines,2020-06-04
05/06/2020,-8.42,-1.8751,6.5449,Delta_Airlines,2020-06-05
08/06/2020,1.0256,-6.5931,-7.6187,Delta_Airlines,2020-06-08
09/06/2020,-0.1349,-5.5588,-5.4239,Delta_Airlines,2020-06-09
10/06/2020,-1.9934,-16.389,-14.3956,Delta_Airlines,2020-06-10
11/06/2020,0.8691,11.5074,10.6383,Delta_Airlines,2020-06-11
12/06/2020,0.8986,-5.5086,-6.4072,Delta_Airlines,2020-06-12
15/06/2020,6.988,15.7577,8.7697,Delta_Airlines,2020-06-15
16/06/2020,-5.2818,-5.8668,-0.5851,Delta_Airlines,2020-06-16
17/06/2020,-0.7324,-2.7027,-1.9703,Delta_Airlines,2020-06-17
18/06/2020,2.0813,5.4552,3.3738,Delta_Airlines,2020-06-18
19/06/2020,-7.1738,-7.8705,-0.6968,Delta_Airlines,2020-06-19
22/06/2020,-0.2497,1.7224,1.9721,Delta_Airlines,2020-06-22
23/06/2020,-0.7653,-2.6414,-1.8761,Delta_Airlines,2020-06-23
24/06/2020,-5.8209,-7.7576,-1.9367,Delta_Airlines,2020-06-24
25/06/2020,4.451,5.6573,1.2063,Delta_Airlines,2020-06-25
26/06/2020,-5.0985,-2.9265,2.172,Delta_Airlines,2020-06-26
29/06/2020,4.132,4.2279,0.096,Delta_Airlines,2020-06-29
30/06/2020,-2.0476,2.3633,4.4109,Delta_Airlines,2020-06-30
01/07/2020,-5.4137,-1.654,3.7597,Delta_Airlines,2020-07-01
02/07/2020,-4.0179,-3.0484,0.9695,Delta_Airlines,2020-07-02
03/07/2020,-1,2.06,3.06,Delta_Airlines,2020-07-03
06/07/2020,-0.2866,-1.3456,-1.059,Delta_Airlines,2020-07-06
07/07/2020,-4.1448,-4.3431,-0.1983,Delta_Airlines,2020-07-07
08/07/2020,0.5045,0.5253,0.0208,Delta_Airlines,2020-07-08
09/07/2020,-5.3236,-5.5618,-0.2382,Delta_Airlines,2020-07-09
10/07/2020,6.0435,7.6285,1.585,Delta_Airlines,2020-07-10
13/07/2020,-2.5815,-5.8391,-3.2576,Delta_Airlines,2020-07-13
14/07/2020,0.8147,7.2543,6.4395,Delta_Airlines,2020-07-14
15/07/2020,2.906,0.2182,-2.6878,Delta_Airlines,2020-07-15
16/07/2020,-2.0238,-0.8345,1.1892,Delta_Airlines,2020-07-16
17/07/2020,-1.9418,-1.2075,0.7344,Delta_Airlines,2020-07-17
20/07/2020,-4.0067,-1.8519,2.1548,Delta_Airlines,2020-07-20
21/07/2020,-1.2925,-1.0189,0.2736,Delta_Airlines,2020-07-21
22/07/2020,-0.9056,-0.8769,0.0288,Delta_Airlines,2020-07-22
23/07/2020,1.8177,2.1769,0.3592,Delta_Airlines,2020-07-23
24/07/2020,0.697,-2.5032,-3.2002,Delta_Airlines,2020-07-24
27/07/2020,1.457,-1.9961,-3.4531,Delta_Airlines,2020-07-27
28/07/2020,5.2764,2.604,-2.6724,Delta_Airlines,2020-07-28
03/02/2020,-1.2808,1.8065,3.0873,Southwest_Airlines,2020-02-03
05/02/2020,0.0769,2.2447,2.1678,Southwest_Airlines,2020-02-05
06/02/2020,-0.7973,-0.2898,0.5074,Southwest_Airlines,2020-02-06
07/02/2020,-1.1758,-0.423,0.7528,Southwest_Airlines,2020-02-07
10/02/2020,-0.5847,0.9317,1.5163,Southwest_Airlines,2020-02-10
11/02/2020,-0.5697,0.8607,1.4304,Southwest_Airlines,2020-02-11
12/02/2020,-0.4985,-0.4293,0.0693,Southwest_Airlines,2020-02-12
13/02/2020,0.0329,1.3451,1.3122,Southwest_Airlines,2020-02-13
